ID,Program,Nationality,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Belbin,Gender
34,B-TCS,Spanish,actFact,Topicus,Voice,Earnit,Entweder,COM,Female
160,B-TCS,Dutch,Inter-actief,Honours Programme,Topicus,Shotmaniacs,Entweder,IMP,Male
318,B-TCS,Estonian,Shotmaniacs,Honours Programme,Topicus,Voice,Inter-actief,IMP,Male
242,B-TCS,Romanian,Notebridge,Earnit,Shotmaniacs,Entweder,Honours Programme,SPE,Male
380,B-TCS,Dutch,Voice,Notebridge,Earnit,Shotmaniacs,Topicus,SPE,Male
361,B-TCS,Indonesian,Voice,Topicus,Earnit,Notebridge,Honours Programme,IMP,Male
128,B-TCS,Romanian,Shotmaniacs,Earnit,Honours Programme,Topicus,Rosen,SPE,Male
326,B-TCS,Peruvian,Shotmaniacs,Topicus,Honours Programme,actFact,Voice,TEA,Male
390,B-TCS,Romanian,Voice,Earnit,Topicus,Honours Programme,actFact,PLA,Male
244,B-TCS,Dutch,Notebridge,Earnit,Shotmaniacs,Entweder,Honours Programme,COM,Male
107,B-TCS,Romanian,Honours Programme,Topicus,Voice,eMagiz,Shotmaniacs,SPE,Male
329,B-TCS,Romanian,Topicus,Honours Programme,Earnit,Inter-actief,Shotmaniacs,PLA,Male
353,B-TCS,Dutch,Topicus,Inter-actief,Entweder,Notebridge,Voice,COO,Male
133,B-TCS,Spanish,Honours Programme,Topicus,Earnit,Rosen,Notebridge,TEA,Male
313,B-BIT,Bulgarian,Shotmaniacs,Honours Programme,Inter-actief,Earnit,eMagiz,COM,Male
146,B-TCS,Dutch,Voice,Shotmaniacs,Inter-actief,Earnit,actFact,SPE,Male
312,B-TCS,Dutch,Shotmaniacs,Honours Programme,Inter-actief,Earnit,eMagiz,SHA,Female
80,B-TCS,Dutch,Earnit,Topicus,Voice,eMagiz,actFact,COO,Male
323,B-TCS,Romanian,Shotmaniacs,Topicus,Honours Programme,actFact,Voice,COM,Female
366,B-TCS,Dutch,Voice,Shotmaniacs,Honours Programme,Topicus,Inter-actief,COO,Male
64,B-TCS,Dutch,Earnit,Notebridge,Topicus,Voice,Shotmaniacs,COM,Male
95,B-TCS,Iranian,Voice,eMagiz,Notebridge,Entweder,Earnit,COM,Male
299,B-TCS,Dutch,Shotmaniacs,Voice,Entweder,Rosen,actFact,COM,Male
385,B-BIT,Spanish,Voice,Shotmaniacs,Honours Programme,Earnit,Notebridge,COO,Male
402,B-BIT,Romanian,Shotmaniacs,Voice,Topicus,Earnit,eMagiz,IMP,Male
333,B-BIT,British,Topicus,Honours Programme,Earnit,Inter-actief,Shotmaniacs,IMP,Male
114,B-TCS,Spanish,Honours Programme,Earnit,Voice,Notebridge,Shotmaniacs,IMP,Male
55,B-TCS,Greek,Earnit,Honours Programme,Entweder,Inter-actief,Rosen,MON,Male
10,B-BIT,Romanian,actFact,Voice,Shotmaniacs,Topicus,Honours Programme,IMP,Female
151,B-BIT,Bulgarian,Voice,Inter-actief,Earnit,Honours Programme,Topicus,SHA,Male
24,B-TCS,Dutch,Shotmaniacs,Honours Programme,actFact,Notebridge,Entweder,SPE,Male
262,B-TCS,Greek,Shotmaniacs,Notebridge,Earnit,Voice,Inter-actief,SHA,Male
26,B-TCS,Bangladeshi,Voice,Shotmaniacs,Honours Programme,Topicus,actFact,COM,Male
279,B-BIT,Lithuanian,Shotmaniacs,Notebridge,Voice,Rosen,Inter-actief,TEA,Male
347,B-TCS,Romanian,Topicus,Earnit,Honours Programme,Notebridge,actFact,SPE,Male
97,B-TCS,Bulgarian,Voice,eMagiz,Notebridge,Entweder,Earnit,TEA,Male
