ID;Program;Nationality;Choice 1;Choice 2;Choice 3;Choice 4;Choice 5;Belbin
1;B-TCS;Dutch;Shotmaniacs;Honours Programme;actFact;Notebridge;Entweder;IMP
2;B-BIT;Dutch;Shotmaniacs;Honours Programme;actFact;Notebridge;Entweder;SPE
3;B-BIT;Dutch;Shotmaniacs;Honours Programme;actFact;Notebridge;Entweder;COM
4;B-TCS;Romanian;Shotmaniacs;Honours Programme;actFact;Notebridge;Entweder;TEA
5;B-TCS;Dutch;Shotmaniacs;Honours Programme;actFact;Notebridge;Entweder;SPE
6;B-TCS;Romanian;Voice;Shotmaniacs;Honours Programme;Topicus;actFact;COO
7;B-TCS;Bangladeshi;Voice;Shotmaniacs;Honours Programme;Topicus;actFact;COM
8;B-TCS;Norwegian;Voice;Shotmaniacs;Honours Programme;Topicus;actFact;RES
9;B-TCS;Dutch;Voice;Shotmaniacs;Honours Programme;Topicus;actFact;COO
10;B-BIT;Dutch;Voice;Shotmaniacs;Honours Programme;Topicus;actFact;COO
11;B-TCS;Romanian;actFact;Topicus;Voice;Earnit;Entweder;COO
12;B-BIT;Dutch;actFact;Topicus;Voice;Earnit;Entweder;SPE
13;B-TCS;Spanish;actFact;Topicus;Voice;Earnit;Entweder;COM
14;B-TCS;Dutch;actFact;Topicus;Voice;Earnit;Entweder;SPE
15;B-TCS;Romanian;actFact;Topicus;Voice;Earnit;Entweder;TEA
