ID;Program;Nationality;Choice 1;Choice 2;Choice 3;Choice 4;Choice 5;Belbin
1;B-TCS;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;PLA
2;B-BIT;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;IMP
3;B-BIT;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;MON
4;B-TCS;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;PLA
5;B-TCS;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;SHA
6;B-TCS;Dutch;actFact;Shotmaniacs;Honours Programme;Voice;Topicus;SPE
7;B-TCS;Romanian;Voice;actFact;Honours Programme;Earnit;Inter-actief;SHA
8;B-TCS;Romanian;Voice;actFact;Honours Programme;Earnit;Inter-actief;SHA
9;B-TCS;Dutch;Voice;actFact;Honours Programme;Earnit;Inter-actief;IMP
10;B-BIT;Egyptian;Voice;actFact;Honours Programme;Earnit;Inter-actief;TEA
11;B-TCS;Romanian;Voice;actFact;Honours Programme;Earnit;Inter-actief;TEA
12;B-BIT;Polish;Voice;actFact;Honours Programme;Earnit;Inter-actief;TEA
