Performance log for run: run_20250530_092206
Optimal score: 0.8067

Generation 0: Best score = 0.6667 | Efficiency = 82.64% | Total Computations: [0] of 43261218 Possible Combinations
Generation 1: Best score = 0.6667 | Efficiency = 82.64% | Total Computations: [22] of 43261218 Possible Combinations
Generation 2: Best score = 0.6667 | Efficiency = 82.64% | Total Computations: [49] of 43261218 Possible Combinations
Generation 3: Best score = 0.6867 | Efficiency = 85.12% | Total Computations: [74] of 43261218 Possible Combinations
Generation 4: Best score = 0.6867 | Efficiency = 85.12% | Total Computations: [95] of 43261218 Possible Combinations
Generation 5: Best score = 0.7200 | Efficiency = 89.26% | Total Computations: [114] of 43261218 Possible Combinations
Generation 6: Best score = 0.7200 | Efficiency = 89.26% | Total Computations: [133] of 43261218 Possible Combinations
Generation 7: Best score = 0.7400 | Efficiency = 91.74% | Total Computations: [151] of 43261218 Possible Combinations
Generation 8: Best score = 0.7400 | Efficiency = 91.74% | Total Computations: [170] of 43261218 Possible Combinations
Generation 9: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [186] of 43261218 Possible Combinations
Generation 10: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [205] of 43261218 Possible Combinations
Generation 11: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [222] of 43261218 Possible Combinations
Generation 12: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [241] of 43261218 Possible Combinations
Generation 13: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [261] of 43261218 Possible Combinations
Generation 14: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [281] of 43261218 Possible Combinations
Generation 15: Best score = 0.7533 | Efficiency = 93.39% | Total Computations: [302] of 43261218 Possible Combinations
Generation 16: Best score = 0.7667 | Efficiency = 95.04% | Total Computations: [320] of 43261218 Possible Combinations
Generation 17: Best score = 0.7667 | Efficiency = 95.04% | Total Computations: [337] of 43261218 Possible Combinations
Generation 18: Best score = 0.7667 | Efficiency = 95.04% | Total Computations: [354] of 43261218 Possible Combinations
Generation 19: Best score = 0.7667 | Efficiency = 95.04% | Total Computations: [373] of 43261218 Possible Combinations
Generation 20: Best score = 0.7667 | Efficiency = 95.04% | Total Computations: [394] of 43261218 Possible Combinations
Generation 21: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [413] of 43261218 Possible Combinations
Generation 22: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [431] of 43261218 Possible Combinations
Generation 23: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [451] of 43261218 Possible Combinations
Generation 24: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [470] of 43261218 Possible Combinations
Generation 25: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [490] of 43261218 Possible Combinations
Generation 26: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [508] of 43261218 Possible Combinations
Generation 27: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [526] of 43261218 Possible Combinations
Generation 28: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [542] of 43261218 Possible Combinations
Generation 29: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [559] of 43261218 Possible Combinations
Generation 30: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [575] of 43261218 Possible Combinations
Generation 31: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [593] of 43261218 Possible Combinations
Generation 32: Best score = 0.7933 | Efficiency = 98.35% | Total Computations: [593] of 43261218 Possible Combinations
Generation 33: Best score = 0.8000 | Efficiency = 99.17% | Total Computations: [610] of 43261218 Possible Combinations
Generation 34: Best score = 0.8000 | Efficiency = 99.17% | Total Computations: [627] of 43261218 Possible Combinations
Generation 35: Best score = 0.8000 | Efficiency = 99.17% | Total Computations: [645] of 43261218 Possible Combinations
Generation 36: Best score = 0.8000 | Efficiency = 99.17% | Total Computations: [665] of 43261218 Possible Combinations
Generation 37: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [685] of 43261218 Possible Combinations
Generation 38: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [702] of 43261218 Possible Combinations
Generation 39: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [720] of 43261218 Possible Combinations
Generation 40: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [739] of 43261218 Possible Combinations
Generation 41: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [757] of 43261218 Possible Combinations
Generation 42: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [778] of 43261218 Possible Combinations
Generation 43: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [795] of 43261218 Possible Combinations
Generation 44: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [815] of 43261218 Possible Combinations
Generation 45: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [835] of 43261218 Possible Combinations
Generation 46: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [853] of 43261218 Possible Combinations
Generation 47: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [870] of 43261218 Possible Combinations
Generation 48: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [870] of 43261218 Possible Combinations
Generation 49: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [890] of 43261218 Possible Combinations
Generation 50: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [908] of 43261218 Possible Combinations
Generation 51: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [929] of 43261218 Possible Combinations
Generation 52: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [945] of 43261218 Possible Combinations
Generation 53: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [966] of 43261218 Possible Combinations
Generation 54: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [986] of 43261218 Possible Combinations
Generation 55: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1009] of 43261218 Possible Combinations
Generation 56: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1027] of 43261218 Possible Combinations
Generation 57: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1045] of 43261218 Possible Combinations
Generation 58: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1045] of 43261218 Possible Combinations
Generation 59: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1068] of 43261218 Possible Combinations
Generation 60: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1085] of 43261218 Possible Combinations
Generation 61: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1104] of 43261218 Possible Combinations
Generation 62: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1125] of 43261218 Possible Combinations
Generation 63: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1144] of 43261218 Possible Combinations
Generation 64: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1163] of 43261218 Possible Combinations
Generation 65: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1181] of 43261218 Possible Combinations
Generation 66: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1201] of 43261218 Possible Combinations
Generation 67: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1221] of 43261218 Possible Combinations
Generation 68: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1221] of 43261218 Possible Combinations
Generation 69: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1239] of 43261218 Possible Combinations
Generation 70: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1259] of 43261218 Possible Combinations
Generation 71: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1279] of 43261218 Possible Combinations
Generation 72: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1296] of 43261218 Possible Combinations
Generation 73: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1319] of 43261218 Possible Combinations
Generation 74: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1336] of 43261218 Possible Combinations
Generation 75: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1357] of 43261218 Possible Combinations
Generation 76: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1375] of 43261218 Possible Combinations
Generation 77: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1397] of 43261218 Possible Combinations
Generation 78: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1397] of 43261218 Possible Combinations
Generation 79: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1415] of 43261218 Possible Combinations
Generation 80: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1435] of 43261218 Possible Combinations
Generation 81: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1457] of 43261218 Possible Combinations
Generation 82: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1476] of 43261218 Possible Combinations
Generation 83: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1493] of 43261218 Possible Combinations
Generation 84: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1511] of 43261218 Possible Combinations
Generation 85: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1529] of 43261218 Possible Combinations
Generation 86: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1550] of 43261218 Possible Combinations
Generation 87: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1567] of 43261218 Possible Combinations
Generation 88: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1567] of 43261218 Possible Combinations
Generation 89: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1585] of 43261218 Possible Combinations
Generation 90: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1604] of 43261218 Possible Combinations
Generation 91: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1622] of 43261218 Possible Combinations
Generation 92: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1643] of 43261218 Possible Combinations
Generation 93: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1661] of 43261218 Possible Combinations
Generation 94: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1680] of 43261218 Possible Combinations
Generation 95: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1696] of 43261218 Possible Combinations
Generation 96: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1720] of 43261218 Possible Combinations
Generation 97: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1737] of 43261218 Possible Combinations
Generation 98: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1737] of 43261218 Possible Combinations
Generation 99: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1756] of 43261218 Possible Combinations
Generation 100: Best score = 0.8067 | Efficiency = 100.00% | Total Computations: [1776] of 43261218 Possible Combinations
